mk	chrom.p	pos.start	pos.end	chrom.g	cM
2.45	2	28000001	29000000	2	21.7362666962716
2.46	2	29000001	30000000	2	21.8730783939427
2.47	2	30000001	31000000	2	22.4226453248687
2.48	2	31000001	32000000	2	22.4226454248687
2.49	2	32000001	33000000	2	24.5039343008665
2.5	2	33000001	34000000	2	26.0393033566326
2.51	2	34000001	35000000	2	28.908316643804
2.52	2	35000001	35500000	2	30.0653875354552
2.53	2	35500001	36000000	2	30.9652562939237
2.54	2	36000001	36500000	2	32.3358098205986
2.55	2	36500001	37000000	2	34.16388435907
2.56	2	37000001	37500000	2	36.9754671312169
2.57	2	37500001	38000000	2	38.127866826889
2.58	2	38000001	38500000	2	41.3869006521635
2.59	2	38500001	39000000	2	42.9865604351896
2.6	2	39000001	39500000	2	45.0163199505752
2.61	2	39500001	40000000	2	47.3742693732211
2.62	2	40000001	40500000	2	50.6200834801305
2.63	2	40500001	41000000	2	52.9331401957452
2.64	2	41000001	41500000	2	55.072544310232
2.65	2	41500001	42000000	2	56.1596686235698
2.66	2	42000001	42500000	2	57.5888964710184
2.67	2	42500001	43181631	2	58.594318226036
3.001	3	1	100000	3	2.57649344095125
3.002	3	100001	200000	3	1.91759165094517
3.003	3	200001	300000	3	1.43023610072445
3.004	3	300001	400000	3	1.04438347495117
3.005	3	400001	500000	3	0.41058750935629
3.006	3	500001	600000	3	1e-07
3.007	3	600001	700000	3	0
3.008	3	700001	800000	3	3.01393730111133
3.009	3	800001	900000	3	3.01393740111133
3.01	3	900001	1000000	3	3.42418438836113
3.011	3	1000001	1500000	3	3.42418448836113
3.012	3	1500001	2000000	3	6.49504740260754
3.013	3	2000001	2500000	3	6.97180299488315
3.014	3	2500001	3000000	3	8.16769626226735
3.015	3	3000001	3500000	3	11.3434202784581
3.016	3	3500001	4000000	3	12.3929686734741
3.017	3	4000001	4500000	3	14.5121141174747
3.018	3	4500001	5000000	3	15.0228018237968
3.019	3	5000001	5500000	3	16.6976525333381
3.02	3	5500001	6000000	3	17.6008410212968
3.021	3	6000001	6500000	3	18.7369130425634
3.022	3	6500001	7000000	3	19.5806704639311
3.023	3	7000001	7500000	3	20.2582378002875
3.024	3	7500001	8000000	3	21.3920933658871
3.025	3	8000001	8500000	3	21.8695040876544
3.026	3	8500001	9000000	3	22.9655802459241
3.027	3	9000001	9100000	3	23.7084514127872
3.028	3	9100001	9200000	3	23.7084515127872
3.029	3	9200001	9300000	3	24.9388925655199
3.03	3	9300001	9400000	3	24.9388924655199
3.031	3	9400001	9500000	3	24.9388923655199
3.032	3	9500001	9600000	3	24.9388922655199
3.033	3	9600001	9700000	3	24.9388921655199
3.034	3	9700001	9800000	3	24.9388920655199
3.035	3	9800001	9900000	3	24.8021926697147
3.036	3	9900001	10000000	3	24.8021925697147
3.037	3	10000001	10100000	3	24.8021924697147
3.038	3	10100001	10200000	3	24.8021923697147
3.039	3	10200001	10300000	3	24.8021922697147
3.041	3	10400001	10500000	3	24.6654927707092
3.042	3	10500001	10600000	3	24.5287930656439
3.043	3	10600001	10700000	3	24.3920928478228
3.044	3	10700001	10800000	3	24.2553923234313
3.045	3	10800001	10900000	3	25.2122921570802
3.047	3	11000001	11100000	3	25.2122922570802
3.048	3	11100001	11200000	3	25.2122923570802
3.049	3	11200001	11300000	3	24.2553922234313
3.05	3	11300001	11400000	3	24.2553921234313
3.051	3	11400001	11500000	3	24.2553920234313
3.052	3	11500001	11600000	3	24.2553919234313
3.054	3	11700001	11800000	3	25.2122924570802
3.055	3	11800001	11900000	3	25.2122925570802
3.056	3	11900001	12000000	3	23.8451533591298
3.057	3	12000001	12100000	3	23.8451532591298
3.058	3	12100001	12200000	3	23.8451531591298
3.06	3	12300001	12400000	3	23.7084517127872
3.061	3	12400001	12500000	3	23.7084516127872
3.063	3	12600001	12700000	3	25.2122926570802
3.064	3	12700001	12800000	3	25.2122927570802
3.065	3	12800001	12900000	3	25.2122928570802
3.068	3	13100001	13200000	3	25.2122929570802
3.069	3	13200001	13300000	3	25.2122930570802
3.07	3	13300001	13400000	3	25.2122931570802
3.071	3	13400001	13500000	3	25.2122932570802
3.072	3	13500001	13600000	3	25.2122933570802
3.073	3	13600001	13700000	3	25.2122934570802
3.074	3	13700001	13800000	3	25.2122935570802
3.075	3	13800001	13900000	3	25.2122936570802
3.076	3	13900001	14000000	3	25.2122937570802
3.077	3	14000001	14500000	3	25.2122938570802
3.078	3	14500001	15000000	3	25.3489945402707
3.079	3	15000001	15500000	3	25.3489946402707
3.08	3	15500001	16000000	3	25.3489947402707
3.081	3	16000001	16500000	3	25.3489948402707
3.082	3	16500001	17000000	3	25.2122939570802
3.083	3	17000001	17500000	3	25.2122940570802
3.084	3	17500001	18000000	3	25.2122941570802
3.085	3	18000001	18500000	3	24.9388926655199
3.086	3	18500001	19000000	3	25.2122942570802
3.087	3	19000001	19500000	3	25.2122943570802
3.088	3	19500001	20000000	3	24.9388927655199
3.089	3	20000001	20500000	3	24.9388928655199
3.09	3	20500001	21000000	3	25.0755922612751
3.091	3	21000001	21100000	3	25.0755923612751
3.092	3	21100001	21200000	3	25.0755924612751
3.093	3	21200001	21300000	3	25.0755925612751
3.094	3	21300001	21400000	3	25.0755926612751
3.095	3	21400001	21500000	3	23.8451534591298
3.096	3	21500001	21600000	3	23.8451535591298
3.097	3	21600001	21700000	3	24.0502736104456
3.098	3	21700001	21800000	3	25.2122945570802
3.099	3	21800001	21900000	3	25.2122946570802
3.1	3	21900001	22000000	3	25.2122947570802
3.101	3	22000001	22500000	3	25.2122948570802
3.102	3	22500001	23000000	3	25.2122949570802
3.103	3	23000001	23500000	3	25.2122950570802
3.104	3	23500001	24000000	3	25.2122951570802
3.105	3	24000001	24500000	3	25.3489949402707
3.106	3	24500001	24600000	3	25.2122952570802
3.107	3	24600001	24700000	3	25.2122953570802
3.108	3	24700001	24800000	3	25.0755927612751
3.11	3	24900001	25000000	3	25.2122944570802
3.113	3	25200001	25300000	3	25.2122954570802
3.114	3	25300001	25400000	3	25.2122955570802
3.115	3	25400001	25500000	3	25.2122956570802
3.116	3	25500001	26000000	3	25.622567179316
3.117	3	26000001	26500000	3	25.622567279316
3.118	3	26500001	27000000	3	25.690894979258
3.119	3	27000001	27500000	3	25.7592226703041
3.12	3	27500001	28000000	3	25.7592227703041
3.121	3	28000001	28500000	3	25.964312325284
3.122	3	28500001	29000000	3	26.1694865891248
3.123	3	29000001	29500000	3	26.9897598829386
3.124	3	29500001	30000000	3	26.3060475402143
3.125	3	30000001	30500000	3	26.6482270424411
3.126	3	30500001	31000000	3	28.4072420423469
3.127	3	31000001	31500000	3	29.1419664625118
3.128	3	31500001	32000000	3	29.7351934271753
3.129	3	32000001	32500000	3	30.3376228011998
3.13	3	32500001	33000000	3	31.2741004330124
3.131	3	33000001	33500000	3	32.0304952582244
3.132	3	33500001	34000000	3	33.3308145864494
3.133	3	34000001	34500000	3	34.2187524361065
3.134	3	34500001	35000000	3	35.46038184443
3.135	3	35000001	35500000	3	35.6837102346278
3.136	3	35500001	36000000	3	38.0566388413206
3.137	3	36000001	36500000	3	38.0566389413206
3.138	3	36500001	37000000	3	40.4529401843294
3.139	3	37000001	37500000	3	43.9376981635357
3.14	3	37500001	38000000	3	45.9170476298758
3.141	3	38000001	38500000	3	46.8527850545856
3.142	3	38500001	39000000	3	48.3294260580893
3.143	3	39000001	39500000	3	50.3146332106196
3.144	3	39500001	40000000	3	50.8952629420054
3.145	3	40000001	40500000	3	54.1029566454512
3.146	3	40500001	41000000	3	55.8359132597294
3.147	3	41000001	41500000	3	58.0237544737255
3.148	3	41500001	42000000	3	60.7326521790234
3.149	3	42000001	42709656	3	61.1233166835289
4.001	4	1	500000	4	0
4.002	4	500001	1000000	4	2.72270665921582
4.003	4	1000001	1500000	4	4.2372714415616
4.004	4	1500001	2000000	4	8.17493499533339
4.005	4	2000001	2500000	4	11.8458494942645
4.006	4	2500001	3000000	4	14.2742623227157
4.007	4	3000001	3500000	4	15.8899881271767
4.008	4	3500001	4000000	4	17.8393473913066
4.009	4	4000001	4500000	4	20.0837543739192
4.01	4	4500001	5000000	4	23.1303759584663
4.011	4	5000001	5100000	4	24.2814460526589
4.012	4	5100001	5200000	4	24.503039778561
4.013	4	5200001	5300000	4	24.8845495460485
4.014	4	5300001	5400000	4	25.4060936322861
4.016	4	5500001	5600000	4	25.8632853839841
4.017	4	5600001	5700000	4	48.6132137179529
4.018	4	5700001	5800000	4	26.0565732438879
4.019	4	5800001	5900000	4	27.4417342866521
4.021	4	6000001	6500000	4	28.52125442607
4.022	4	6500001	7000000	4	29.6890092606586
4.023	4	7000001	7500000	4	30.4876261072468
4.024	4	7500001	8000000	4	32.2180726082514
4.025	4	8000001	8500000	4	34.4966625780093
4.026	4	8500001	9000000	4	34.7045714905035
4.027	4	9000001	9500000	4	35.6536480475875
4.028	4	9500001	10000000	4	35.6536481475875
4.029	4	10000001	10500000	4	36.3559107597787
4.03	4	10500001	11000000	4	36.5880136931155
4.031	4	11000001	11500000	4	37.0863782598299
4.032	4	11500001	12000000	4	37.2665879353574
4.033	4	12000001	12500000	4	39.0011821320073
4.034	4	12500001	13000000	4	39.0011822320073
4.035	4	13000001	14000000	4	39.6921946472438
4.036	4	14000001	15000000	4	42.6378634958862
4.037	4	15000001	16000000	4	42.1551962810154
4.038	4	16000001	17000000	4	41.0873780161718
4.039	4	17000001	17100000	4	39.6921947472438
4.04	4	17100001	17200000	4	39.5468493565695
4.041	4	17200001	17300000	4	39.5468492565695
4.043	4	17400001	17500000	4	48.2145914029795
4.045	4	17600001	17700000	4	48.2145915029795
4.046	4	17700001	17800000	4	43.3107346771527
4.047	4	17800001	17900000	4	43.3107347771527
4.048	4	17900001	18000000	4	43.9766963447765
4.049	4	18000001	18100000	4	43.4486208252646
4.05	4	18100001	18200000	4	43.7101720070488
4.051	4	18200001	18300000	4	44.1050398176461
4.052	4	18300001	18400000	4	44.1050399176461
4.053	4	18400001	18500000	4	44.1050400176461
4.054	4	18500001	18600000	4	44.1050401176461
4.057	4	18800001	18900000	4	48.6132134179529
4.058	4	18900001	19000000	4	48.6132135179529
4.059	4	19000001	19100000	4	44.1050402176461
4.063	4	19400001	19500000	4	44.3256241535339
4.064	4	19500001	19600000	4	44.678637322996
4.066	4	19700001	19800000	4	45.9584945440271
4.067	4	19800001	19900000	4	45.9584946440271
4.068	4	19900001	20000000	4	46.0865433778759
4.072	4	20300001	20400000	4	45.1848663943956
4.073	4	20400001	20500000	4	45.1848664943956
4.074	4	20500001	20600000	4	44.678637422996
4.075	4	20600001	20700000	4	44.8936138683521
4.076	4	20700001	20800000	4	44.8936139683521
4.078	4	20900001	21000000	4	45.5451511346469
4.079	4	21000001	21100000	4	45.6971821586371
4.08	4	21100001	21200000	4	45.9584944440271
4.081	4	21200001	21300000	4	46.0865485836356
4.082	4	21300001	21400000	4	46.2212487215523
4.084	4	21500001	21600000	4	46.2212488215523
4.086	4	21700001	21800000	4	44.8936140683521
4.087	4	21800001	21900000	4	44.9149256592957
4.088	4	21900001	22000000	4	46.2212489215523
4.089	4	22000001	22100000	4	46.4847704826241
4.091	4	22200001	22300000	4	46.4847705826241
4.092	4	22300001	22400000	4	46.4847706826241
4.094	4	22500001	22600000	4	46.7434939229402
4.095	4	22600001	22700000	4	46.7434940229402
4.096	4	22700001	22800000	4	46.8737140218246
4.097	4	22800001	22900000	4	47.0054456996376
4.099	4	23000001	23100000	4	47.143360529763
4.101	4	23200001	23300000	4	48.6132136179529
4.102	4	23300001	23400000	4	48.7529570652408
4.105	4	23600001	23700000	4	47.143360629763
4.109	4	24000001	24500000	4	47.6781849365091
4.11	4	24500001	25000000	4	47.6781850365091
4.111	4	25000001	25500000	4	47.6781851365091
4.112	4	25500001	26000000	4	48.8828947751601
4.113	4	26000001	27000000	4	48.8828948751601
4.114	4	27000001	28000000	4	48.8828949751601
4.115	4	28000001	29000000	4	48.8828950751601
4.116	4	29000001	30000000	4	48.8828951751601
4.117	4	30000001	31000000	4	48.8828952751601
4.119	4	32000001	33000000	4	48.8828954751601
4.12	4	33000001	34000000	4	49.4163087526713
4.121	4	34000001	35000000	4	49.9496785476948
4.122	4	35000001	35500000	4	49.9496786476948
4.123	4	35500001	36000000	4	50.0827881088812
4.124	4	36000001	36500000	4	50.3043720503939
4.125	4	36500001	37000000	4	50.7490618118558
4.126	4	37000001	37500000	4	50.7490619118558
4.127	4	37500001	38000000	4	50.9122954906123
4.128	4	38000001	38500000	4	52.1594829903652
4.129	4	38500001	39000000	4	53.3379369364014
4.13	4	39000001	39500000	4	55.4700361121715
4.131	4	39500001	40000000	4	56.012248911362
4.132	4	40000001	40500000	4	57.589011131914
4.133	4	40500001	41000000	4	58.8372682933763
4.134	4	41000001	41500000	4	61.0566384409671
4.135	4	41500001	42000000	4	62.8786149068615
4.136	4	42000001	42500000	4	63.7015168869731
4.137	4	42500001	43000000	4	68.4392675473512
4.138	4	43000001	43500000	4	69.2900669332653
4.139	4	43500001	44000000	4	71.6856149829946
4.14	4	44000001	44500000	4	73.4848901936764
4.141	4	44500001	45000000	4	78.1715746670253
4.142	4	45000001	45500000	4	82.5938835001228
4.143	4	45500001	45830269	4	80.6463770242839
5.01	5	1	500000	5	0
5.02	5	500001	1000000	5	0.712676598709379
5.03	5	1000001	1500000	5	2.9552856438594
5.04	5	1500001	2000000	5	6.12978518833834
5.05	5	2000001	2500000	5	6.94964656770497
5.06	5	2500001	3000000	5	10.6278493185216
5.07	5	3000001	3500000	5	12.5910195817484
5.08	5	3500001	4000000	5	15.5286181796163
5.09	5	4000001	4500000	5	15.7107731316406
5.1	5	4500001	5000000	5	17.8516842619364
5.11	5	5000001	5500000	5	19.107136473119
5.12	5	5500001	6000000	5	21.2972315612003
5.13	5	6000001	6500000	5	22.6478750226808
5.14	5	6500001	7000000	5	24.0261535118559
5.15	5	7000001	7400000	5	25.0680754185709
5.16	5	7400001	7700000	2	24.5039344008665
5.17	5	7700001	8500000	5	26.0043943189538
5.18	5	8500001	9000000	5	27.4748763128962
5.19	5	9000001	9500000	5	29.6626499371927
5.2	5	9500001	10000000	5	30.1545359918989
5.21	5	10000001	10500000	5	30.6329696440748
5.22	5	10500001	11000000	5	30.6329697440748
5.23	5	11000001	11500000	5	31.7329482745539
5.24	5	11500001	12000000	5	31.7329483745539
5.25	5	12000001	12500000	5	32.4284165904489
5.26	5	12500001	13000000	5	33.0769847007343
5.27	5	13000001	13500000	5	33.2408370923122
5.28	5	13500001	14000000	5	33.7226521672514
5.3	5	14500001	15000000	5	30.6329698440748
5.31	5	15000001	15500000	5	36.2596783407779
5.32	5	15500001	16000000	5	36.2596784407779
5.33	5	16000001	17000000	5	36.2596785407779
5.34	5	17000001	18000000	5	35.9739622777845
5.35	5	18000001	19000000	5	36.2596786407779
5.36	5	19000001	20000000	5	36.2596787407779
5.37	5	20000001	21000000	5	36.6901723811539
5.38	5	21000001	22000000	5	36.6901724811539
5.39	5	22000001	23000000	5	36.6901725811539
5.4	5	23000001	24000000	5	36.6901726811539
5.41	5	24000001	25000000	5	36.6901727811539
5.42	5	25000001	26000000	5	36.6901728811539
5.43	5	26000001	27000000	5	36.6901729811539
5.44	5	27000001	28000000	5	36.6901730811539
5.45	5	28000001	29000000	5	36.6901731811539
5.46	5	29000001	30000000	5	36.6901732811539
5.47	5	30000001	31000000	5	36.6901770301794
5.48	5	31000001	31500000	5	36.8268943539087
5.49	5	31500001	32000000	5	36.963615949659
5.5	5	32000001	32500000	5	36.963616049659
5.51	5	32500001	33000000	5	36.963616149659
5.52	5	33000001	33500000	5	36.963616249659
5.53	5	33500001	34000000	5	37.3742732944757
5.54	5	34000001	34500000	5	37.3742733944757
5.55	5	34500001	35000000	5	38.0225141832312
5.56	5	35000001	35500000	5	38.2696376804255
5.57	5	35500001	36000000	5	38.9470901485039
5.58	5	36000001	36500000	5	39.7059004498446
5.59	5	36500001	37000000	5	40.3150289228947
5.6	5	37000001	37500000	5	41.0776544043592
5.61	5	37500001	38000000	5	41.7619332567075
5.62	5	38000001	38500000	5	43.1409462349558
5.63	5	38500001	39000000	5	43.1409463349558
5.64	5	39000001	39500000	5	44.6405656920837
5.65	5	39500001	40000000	5	45.2311942256648
5.67	5	40500001	41000000	5	47.6702281667895
5.68	5	41000001	41500000	5	47.8679380269561
5.69	5	41500001	42000000	5	48.1889607713995
5.7	5	42000001	42500000	5	49.195567949112
5.71	5	42500001	43000000	5	49.9749616452006
5.72	5	43000001	43500000	5	50.2375063143255
5.73	5	43500001	44000000	5	52.9516652068871
5.74	5	44000001	44547717	5	54.1965706074569
6.01	6	1	500000	6	0
6.02	6	500001	1000000	6	1.3455381055728
6.03	6	1000001	1500000	6	3.98832895217806
6.04	6	1500001	2000000	6	6.5557597883478
6.05	6	2000001	2500000	6	11.7443223410029
6.06	6	2500001	3000000	6	13.6689542940883
6.07	6	3000001	3500000	6	15.8248958613965
6.08	6	3500001	4000000	6	19.3900127123183
6.09	6	4000001	4500000	6	22.3087095674763
6.1	6	4500001	5000000	6	26.2208669389528
6.11	6	5000001	5500000	6	28.0834061522174
6.12	6	5500001	6000000	6	31.4973610021033
6.13	6	6000001	6500000	6	33.0957201244302
6.14	6	6500001	7000000	6	34.8275825729282
6.15	6	7000001	7500000	6	37.4880920174277
6.16	6	7500001	8000000	6	39.243217079815
6.17	6	8000001	8500000	6	41.8272440000011
6.18	6	8500001	9000000	6	43.0216752542848
6.19	6	9000001	9500000	6	44.2465984454306
6.2	6	9500001	10000000	6	44.9124927740079
6.21	6	10000001	10500000	6	45.2840445770837
6.22	6	10500001	11000000	6	45.4373803621684
6.24	6	11500001	12000000	6	46.4991592150664
6.25	6	12000001	13000000	6	46.6890025936227
6.26	6	13000001	14000000	6	47.2841039458428
6.27	6	14000001	15000000	6	48.0252911034304
6.28	6	15000001	16000000	6	48.1619292613083
6.29	6	16000001	17000000	6	48.0252912034304
6.3	6	17000001	18000000	6	48.0252913034304
6.31	6	18000001	19000000	6	48.0252914034304
6.32	6	19000001	19500000	6	47.7121021652497
6.33	6	19500001	19800000	6	47.2841038458428
6.35	6	20000001	21000000	6	47.8886044631275
6.36	6	21000001	22000000	6	48.4356043823321
6.37	6	22000001	23000000	6	48.7092494813178
6.38	6	23000001	24000000	6	48.9136655374391
6.39	6	24000001	25000000	6	49.5308204122481
6.4	6	25000001	26000000	6	50.6687954952119
6.41	6	26000001	26500000	6	51.3155344410928
6.42	6	26500001	27000000	6	52.6030668700433
6.43	6	27000001	27500000	6	54.1400540766607
6.44	6	27500001	28000000	6	55.4495184579798
6.45	6	28000001	28500000	6	57.7829132577099
6.46	6	28500001	29000000	6	58.3713094742418
6.47	6	29000001	29500000	6	61.7476791201255
6.48	6	29500001	30000000	6	62.3559849397749
6.49	6	30000001	30424310	6	62.8777437868479
7.002	7	500001	1000000	7	0
7.003	7	1000001	1500000	7	2.00524949629969
7.004	7	1500001	2000000	7	4.74486269059771
7.005	7	2000001	2500000	7	5.75506408236152
7.006	7	2500001	3000000	7	8.02809891822539
7.007	7	3000001	3500000	7	9.36181767542467
7.008	7	3500001	4000000	7	10.0512822331308
7.009	7	4000001	4500000	7	12.6329250964978
7.01	7	4500001	5000000	7	14.1734259886715
7.011	7	5000001	5500000	7	16.9736652742253
7.012	7	5500001	6000000	7	16.9736653742253
7.013	7	6000001	6500000	7	18.9598130727268
7.014	7	6500001	7000000	7	19.9193993222607
7.015	7	7000001	7500000	7	20.1760098139024
7.016	7	7500001	8000000	7	20.9442117738674
7.017	7	8000001	8500000	7	23.3075633969734
7.018	7	8500001	9000000	7	24.1456511237364
7.019	7	9000001	9500000	7	24.6328109586466
7.02	7	9500001	10000000	7	25.8736659502256
7.021	7	10000001	10200000	4	42.1551961810154
7.023	7	10700001	11200000	7	26.9858320180444
7.024	7	11200001	11700000	7	27.865560645237
7.025	7	11700001	12200000	7	28.1268740006288
7.026	7	12200001	12700000	7	28.4002618203911
7.027	7	12700001	13100000	7	29.0860507570296
7.028	7	13100001	13150000	1	38.9606163252049
7.029	7	13150001	13500000	7	29.3594297006325
7.03	7	13500001	14000000	7	29.3594298006325
7.031	7	14000001	14500000	7	30.3200963747996
7.032	7	14500001	15000000	7	30.3200964747996
7.033	7	15000001	16000000	7	31.281058571042
7.034	7	16000001	17000000	7	31.281058671042
7.035	7	17000001	18000000	7	31.9648260127198
7.036	7	18000001	19000000	7	31.9648299559758
7.037	7	19000001	20000000	7	31.9648300559758
7.038	7	20000001	21000000	7	31.9648301559758
7.039	7	21000001	22000000	7	31.9648302559758
7.04	7	22000001	23000000	7	31.9648303559758
7.041	7	23000001	24000000	7	31.9648304559758
7.042	7	24000001	25000000	7	31.9648305559758
7.043	7	25000001	25100000	7	31.9648306559758
7.045	7	25200001	25300000	7	31.9648307559758
7.046	7	25300001	25400000	7	31.9648308559758
7.047	7	25400001	25500000	7	31.9648309559758
7.048	7	25500001	25600000	7	31.9648310559758
7.049	7	25600001	25700000	7	31.9648311559758
7.05	7	25700001	25800000	7	31.9648312559758
7.051	7	25800001	25900000	7	32.9903504900485
7.052	7	25900001	26000000	7	32.9903503900485
7.053	7	26000001	26100000	7	32.8766489408946
7.054	7	26100001	26200000	7	32.6485415764042
7.055	7	26200001	26300000	7	32.6485414764042
7.056	7	26300001	26400000	7	31.9648313559758
7.057	7	26400001	26500000	7	31.9648314559758
7.058	7	26500001	26600000	7	31.9648315559758
7.059	7	26600001	26700000	7	31.9648316559758
7.06	7	26700001	26800000	7	31.9648317559758
7.061	7	26800001	26900000	7	31.9648318559758
7.062	7	26900001	27000000	7	31.9648319559758
7.063	7	27000001	27500000	7	31.9648320559758
7.064	7	27500001	28000000	7	31.9648321559758
7.066	7	28500001	29000000	7	31.9648322559758
7.068	7	29100001	29200000	4	48.8828953751601
7.07	7	29300001	29400000	7	31.8281263270257
7.071	7	29400001	29500000	7	31.6914232704897
7.072	7	29500001	29600000	7	31.6914231704897
7.073	7	29600001	29700000	7	31.9648323559758
7.074	7	29700001	29800000	7	31.9648324559758
7.075	7	29800001	29900000	7	31.9648325559758
